school,municipality,lon,lat,unique_id
Dr. David Suzuki Public School,Windsor,-82.9597592,42.3265721,Dr. David Suzuki Public SchoolWindsor
École élémentaire catholique Georges P Vanier,Windsor,-82.9594671,42.3248797,École élémentaire catholique Georges P VanierWindsor
Blind River Public School,Blind River,-82.9572306,46.1849859,Blind River Public SchoolBlind River
St Rose Catholic School,Windsor,-82.9543086,42.3302605,St Rose Catholic SchoolWindsor
William G Davis Public School,Windsor,-82.9537686,42.2985721,William G Davis Public SchoolWindsor
W J Langlois Catholic School,Windsor,-82.9529927,42.2933454,W J Langlois Catholic SchoolWindsor
W. J. Langlois Catholic Elementary School,Windsor,-82.9523735,42.2938922,W. J. Langlois Catholic Elementary SchoolWindsor
Roseville Public School,Windsor,-82.9468754,42.3067331,Roseville Public SchoolWindsor
St John Vianney Catholic School,Windsor,-82.939782,42.337197,St John Vianney Catholic SchoolWindsor
Riverside Secondary School,Windsor,-82.9362507,42.3302289,Riverside Secondary SchoolWindsor
Forest Glade Public School,Windsor,-82.923227,42.3110576,Forest Glade Public SchoolWindsor
Eastwood Public School,Windsor,-82.9221708,42.3006069,Eastwood Public SchoolWindsor
St. Joseph Catholic High School,Windsor,-82.9121975,42.3168561,St. Joseph Catholic High SchoolWindsor
St Joseph's High School,Windsor,-82.9121975,42.3168561,St Joseph's High SchoolWindsor
Harrow Public School,Essex,-82.9097564,42.0367295,Harrow Public SchoolEssex
Parkview Public School,Windsor,-82.9097293,42.3078029,Parkview Public SchoolWindsor
L A Desmarais Catholic School,Windsor,-82.909467,42.309686,L A Desmarais Catholic SchoolWindsor
Tecumseh Vista Academy - Elementary,Tecumseh,-82.8923367,42.280965,Tecumseh Vista Academy - ElementaryTecumseh
Tecumseh Vista Academy- Secondary,Tecumseh,-82.8923367,42.280965,Tecumseh Vista Academy- SecondaryTecumseh
École élémentaire catholique Saint-Antoine,Tecumseh,-82.8862926,42.309968,École élémentaire catholique Saint-AntoineTecumseh
